Longitude,Latitude,Depth,OriginTime,x,y,z,Mag
 52.8691, 34.0287, 22.9521,2001-02-03 00:23:20, 34.0851,-52.2180, 22.9521,  3.2815
 52.5243, 33.2692, 12.9264,2001-02-03 00:24:30,  2.2665,-136.5291, 12.9264,  3.2423
 52.9398, 34.0458, 24.9255,2001-02-03 00:25:40, 40.6072,-50.2994, 24.9255,  1.0015
 52.5474, 33.7553, 14.1128,2001-02-03 00:26:50,  4.3933,-82.6083, 14.1128,  0.7822
 52.2476, 33.8171,  4.6123,2001-02-03 00:28:00,-23.3699,-75.7277,  4.6123,  1.3874
 52.8716, 34.1173, 22.9791,2001-02-03 00:29:10, 34.2799,-42.3897, 22.9791,  1.4451
 52.7241, 33.7036, 18.8838,2001-02-03 00:30:20, 20.7742,-88.3152, 18.8838,  0.6816
 52.5145, 33.7203, 13.3326,2001-02-03 00:31:30,  1.3438,-86.4870, 13.3326,  1.6371
 52.5528, 33.4909, 13.7879,2001-02-03 00:32:40,  4.9093,-111.9350, 13.7879,  1.1027
 52.2610, 33.6681,  5.4451,2001-02-03 00:33:50,-22.1660,-92.2541,  5.4451,  2.2293
 52.7627, 33.3379, 19.9474,2001-02-03 00:35:00, 24.4544,-128.8746, 19.9474,  1.8065
 52.7496, 33.9854, 19.8962,2001-02-03 00:36:10, 23.0650,-57.0527, 19.8962,  2.2748
 52.4043, 34.1335,  9.8416,2001-02-03 00:37:20, -8.8256,-40.6514,  9.8416,  1.2906
 52.9647, 33.7935, 25.5772,2001-02-03 00:38:30, 43.0371,-78.2749, 25.5772,  1.5075
 52.4629, 33.4835, 11.4934,2001-02-03 00:39:40, -3.4515,-112.7497, 11.4934,  1.1598
 52.6145, 33.8567, 15.2489,2001-02-03 00:40:50, 10.5944,-71.3502, 15.2489,  0.6275
 52.6348, 33.7588, 16.2815,2001-02-03 00:42:00, 12.4883,-82.2119, 16.2815,  0.6736
 52.4653, 33.6773, 11.4462,2001-02-03 00:43:10, -3.2210,-91.2603, 11.4462,  2.3131
 52.6737, 33.9029, 17.2239,2001-02-03 00:44:20, 16.0685,-66.2256, 17.2239,  2.6237
 52.8373, 33.6440, 22.1040,2001-02-03 00:45:30, 31.2957,-94.8963, 22.1040,  1.9596
 52.4441, 33.7003, 10.6498,2001-02-03 00:46:40, -5.1831,-88.7046, 10.6498,  2.2462
 52.4386, 33.9902, 10.6681,2001-02-03 00:47:50, -5.6696,-56.5469, 10.6681,  1.2527
 52.5727, 33.8081, 13.7220,2001-02-03 00:49:00,  6.7362,-76.7428, 13.7220,  1.5509
 52.8725, 33.4281, 22.8572,2001-02-03 00:50:10, 34.6483,-118.8380, 22.8572,  1.8876
 52.5809, 33.6400, 14.3826,2001-02-03 00:51:20,  7.5076,-95.3927, 14.3826,  0.9288
 52.6864, 33.9805, 17.5659,2001-02-03 00:52:30, 17.2271,-57.6114, 17.5659,  2.8381
 52.7854, 33.6974, 20.9465,2001-02-03 00:53:40, 26.4646,-88.9970, 20.9465,  2.3163
 52.5460, 33.7299, 12.8111,2001-02-03 00:54:50,  4.2665,-85.4236, 12.8111,  0.7208
 52.5600, 33.7079, 14.8470,2001-02-03 00:56:00,  5.5594,-87.8655, 14.8470,  3.2094
 52.6766, 33.6807, 17.4885,2001-02-03 00:57:10, 16.3799,-90.8724, 17.4885,  1.6664
 52.6101, 33.6578, 15.2700,2001-02-03 00:58:20, 10.2131,-93.4110, 15.2700,  1.4738
 52.4021, 33.9440, 10.2028,2001-02-03 00:59:30, -9.0475,-61.6761, 10.2028,  3.2705
 52.8048, 33.8316, 21.1577,2001-02-03 01:00:40, 28.2117,-74.1025, 21.1577,  2.1961
 52.5169, 33.7018, 12.5205,2001-02-03 01:01:50,  1.5641,-88.5451, 12.5205,  2.5964
 52.3168, 33.8653,  6.7886,2001-02-03 01:03:00,-16.9523,-70.3867,  6.7886,  1.9575
 52.6542, 33.8203, 17.8920,2001-02-03 01:04:10, 14.2748,-75.3855, 17.8920,  2.2458
 52.5888, 33.9731, 14.7120,2001-02-03 01:05:20,  8.2036,-58.4464, 14.7120,  0.8661
 52.8159, 33.8101, 21.5487,2001-02-03 01:06:30, 29.2487,-76.4862, 21.5487,  2.9269
 52.6974, 33.5299, 17.7767,2001-02-03 01:07:40, 18.3344,-107.5937, 17.7767,  1.4652
 52.4550, 34.1231, 10.4333,2001-02-03 01:08:50, -4.1534,-41.8135, 10.4333,  1.2068
 52.5463, 33.5504, 13.7880,2001-02-03 01:10:00,  4.3015,-105.3307, 13.7880,  4.2657
 52.6999, 33.5004, 18.5831,2001-02-03 01:11:10, 18.5743,-110.8626, 18.5831,  2.8448
 52.3040, 33.8443,  7.0657,2001-02-03 01:12:20,-18.1428,-72.7197,  7.0657,  1.5885
 52.5911, 33.8071, 14.6938,2001-02-03 01:13:30,  8.4316,-76.8554, 14.6938,  2.7139
 52.7779, 34.1670, 19.8103,2001-02-03 01:14:40, 25.6246,-36.9021, 19.8103,  2.4864
 52.7028, 33.9335, 18.3741,2001-02-03 01:15:50, 18.7524,-62.8236, 18.3741,  2.8656
 52.5179, 33.6054, 13.0141,2001-02-03 01:17:00,  1.6653,-99.2383, 13.0141,  2.2179
 52.5433, 33.7996, 14.0083,2001-02-03 01:18:10,  4.0057,-77.6955, 14.0083,  0.9693
 52.4909, 33.7247, 12.1667,2001-02-03 01:19:20, -0.8396,-85.9988, 12.1667,  2.1340
 52.4884, 33.7614, 11.8757,2001-02-03 01:20:30, -1.0753,-81.9284, 11.8757,  3.4190
 52.2649, 33.8157,  5.8006,2001-02-03 01:21:40,-21.7655,-75.8832,  5.8006,  1.4475
 52.7551, 33.7326, 19.5391,2001-02-03 01:22:50, 23.6458,-85.0977, 19.5391,  4.2350
 52.9334, 33.5432, 24.6164,2001-02-03 01:24:00, 40.2571,-106.0514, 24.6164,  1.1906
 52.6553, 33.7697, 16.5802,2001-02-03 01:25:10, 14.3842,-80.9941, 16.5802,  2.3996
 52.4086, 33.9668, 10.1981,2001-02-03 01:26:20, -8.4462,-59.1462, 10.1981,  1.2895
 52.6238, 33.8008, 16.1613,2001-02-03 01:27:30, 11.4678,-77.5521, 16.1613,  2.5602
 52.6057, 33.8860, 16.1226,2001-02-03 01:28:40,  9.7776,-68.1006, 16.1226,  2.2392
 52.8010, 33.9623, 21.1550,2001-02-03 01:29:50, 27.8161,-59.6032, 21.1550,  0.9733
 52.5362, 33.5903, 13.3038,2001-02-03 01:31:00,  3.3588,-100.9137, 13.3038,  1.9976
 52.4106, 33.7326,  9.4622,2001-02-03 01:32:10, -8.2849,-85.1209,  9.4622,  2.5110
 52.5685, 33.9377, 14.6574,2001-02-03 01:33:20,  6.3364,-62.3752, 14.6574,  1.0909
 52.5129, 33.7368, 12.2514,2001-02-03 01:34:30,  1.1955,-84.6640, 12.2514,  3.1242
 52.2136, 33.6057,  4.0548,2001-02-03 01:35:40,-26.5803,-99.1658,  4.0548,  1.7688
 52.4225, 34.0042, 10.0567,2001-02-03 01:36:50, -7.1571,-54.9995, 10.0567,  4.0116
 52.6671, 33.8324, 17.4174,2001-02-03 01:38:00, 15.4661,-74.0465, 17.4174,  1.7407
 52.5008, 33.7051, 12.2113,2001-02-03 01:39:10,  0.0753,-88.1790, 12.2113,  1.2686
 52.5041, 33.9155, 12.8217,2001-02-03 01:40:20,  0.3746,-64.8412, 12.8217,  0.9396
 52.7845, 33.7310, 21.0665,2001-02-03 01:41:30, 26.3696,-85.2638, 21.0665,  1.4453
 52.4004, 33.9056,  9.5313,2001-02-03 01:42:40, -9.2107,-65.9289,  9.5313,  1.3966
 52.3318, 33.7971,  7.6811,2001-02-03 01:43:50,-15.5797,-77.9546,  7.6811,  4.3707
 52.6171, 33.9031, 16.6109,2001-02-03 01:45:00, 10.8314,-66.2043, 16.6109,  0.8926
 52.7345, 33.7999, 18.6616,2001-02-03 01:46:10, 21.7201,-77.6376, 18.6616,  2.7664
 52.4389, 33.8720, 11.1562,2001-02-03 01:47:20, -5.6532,-69.6656, 11.1562,  1.0328
 52.4890, 33.6855, 12.2781,2001-02-03 01:48:30, -1.0224,-90.3526, 12.2781,  0.7164
 52.7838, 33.3404, 20.7226,2001-02-03 01:49:40, 26.4221,-128.5932, 20.7226,  2.8639
 52.4611, 33.6777, 10.9469,2001-02-03 01:50:50, -3.6084,-91.2151, 10.9469,  2.1557
 52.3787, 33.7222,  8.9730,2001-02-03 01:52:00,-11.2399,-86.2734,  8.9730,  1.0107
 52.7623, 33.2974, 19.9451,2001-02-03 01:53:10, 24.4344,-133.3713, 19.9451,  2.5664
 52.4115, 33.9091, 10.1352,2001-02-03 01:54:20, -8.1852,-65.5462, 10.1352,  1.1667
 52.6951, 33.7454, 18.0147,2001-02-03 01:55:30, 18.0808,-83.6844, 18.0147,  1.2492
 52.8515, 33.9382, 22.6304,2001-02-03 01:56:40, 32.4965,-62.2675, 22.6304,  1.5149
 52.5964, 34.0789, 15.2238,2001-02-03 01:57:50,  8.8937,-46.7086, 15.2238,  0.8069
 52.6205, 33.7347, 15.8759,2001-02-03 01:59:00, 11.1674,-84.8842, 15.8759,  2.4995
 52.8670, 34.0869, 22.9496,2001-02-03 02:00:10, 33.8731,-45.7609, 22.9496,  0.6875
 52.4408, 33.6981, 10.6002,2001-02-03 02:01:20, -5.4846,-88.9518, 10.6002,  0.9662
 52.2444, 34.1271,  5.6428,2001-02-03 02:02:30,-23.5822,-41.3411,  5.6428,  1.8837
 52.5978, 33.7325, 14.7547,2001-02-03 02:03:40,  9.0619,-85.1323, 14.7547,  0.8532
 52.6403, 33.8534, 15.6200,2001-02-03 02:04:50, 12.9847,-71.7163, 15.6200,  2.1011
 52.5415, 33.6859, 13.7793,2001-02-03 02:06:00,  3.8490,-90.3065, 13.7793,  2.3814
 52.4805, 33.7237, 12.5509,2001-02-03 02:07:10, -1.8084,-86.1151, 12.5509,  1.6739
 52.2088, 33.8272,  3.8969,2001-02-03 02:08:20,-26.9590,-74.5898,  3.8969,  3.4338
 52.4633, 33.7736, 11.5312,2001-02-03 02:09:30, -3.3964,-80.5767, 11.5312,  1.5021
 52.9484, 33.8608, 24.8003,2001-02-03 02:10:40, 41.4984,-70.8095, 24.8003,  1.6136
 52.6618, 33.5912, 17.3355,2001-02-03 02:11:50, 15.0171,-100.7969, 17.3355,  3.1006
 52.7163, 33.8698, 18.4665,2001-02-03 02:13:00, 20.0166,-69.8891, 18.4665,  2.5350
 52.7560, 34.0350, 19.6955,2001-02-03 02:14:10, 23.6389,-51.5546, 19.6955,  1.8101
 52.4513, 33.8426, 10.2284,2001-02-03 02:15:20, -4.5114,-72.9265, 10.2284,  1.2136
 52.8406, 33.6706, 21.7723,2001-02-03 02:16:30, 31.5857,-91.9502, 21.7723,  2.1146
 52.4798, 34.0117, 12.0900,2001-02-03 02:17:40, -1.8679,-54.1665, 12.0900,  1.7410
 52.7245, 33.5821, 19.0028,2001-02-03 02:18:50, 20.8424,-101.7922, 19.0028,  2.8501
 52.6193, 33.9199, 15.9501,2001-02-03 02:20:00, 11.0360,-64.3376, 15.9501,  2.1541
 52.3577, 33.9207,  8.0836,2001-02-03 02:21:10,-13.1556,-64.2466,  8.0836,  1.0696
 52.3191, 33.8531,  7.7375,2001-02-03 02:22:20,-16.7384,-71.7487,  7.7375,  1.4681
 53.0039, 33.6049, 27.0315,2001-02-03 02:23:30, 46.7677,-99.1711, 27.0315,  4.9587
 52.5468, 33.9168, 14.3803,2001-02-03 02:24:40,  4.3255,-64.6885, 14.3803,  1.7932
 52.5133, 34.1221, 12.9220,2001-02-03 02:25:50,  1.2266,-41.9222, 12.9220,  1.4243
 52.3991, 33.9279,  9.5611,2001-02-03 02:27:00, -9.3301,-63.4561,  9.5611,  2.3340
 52.5448, 33.6523, 13.4723,2001-02-03 02:28:10,  4.1520,-94.0290, 13.4723,  1.9873
 52.3944, 33.6905,  9.6949,2001-02-03 02:29:20, -9.7921,-89.7899,  9.6949,  2.0647
 52.5875, 33.9765, 14.5044,2001-02-03 02:30:30,  8.0852,-58.0641, 14.5044,  0.7800
 52.7656, 33.7782, 19.9994,2001-02-03 02:31:40, 24.5982,-80.0401, 19.9994,  1.4004
 52.4943, 33.7769, 12.2584,2001-02-03 02:32:50, -0.5272,-80.2156, 12.2584,  1.3612
 52.7660, 33.7421, 19.9907,2001-02-03 02:34:00, 24.6520,-84.0439, 19.9907,  2.2612
 52.4154, 33.6466,  9.7052,2001-02-03 02:35:10, -7.8453,-94.6611,  9.7052,  0.9342
 53.0005, 33.9503, 27.7130,2001-02-03 02:36:20, 46.2642,-60.8622, 27.7130,  2.6876
 52.6212, 33.7205, 16.4633,2001-02-03 02:37:30, 11.2300,-86.4652, 16.4633,  2.2725
 52.7173, 33.8511, 18.9046,2001-02-03 02:38:40, 20.1068,-71.9618, 18.9046,  2.5608
 52.1963, 33.9416,  3.6426,2001-02-03 02:39:50,-28.0770,-61.8989,  3.6426,  1.7090
 52.5179, 34.2097, 12.5731,2001-02-03 02:41:00,  1.6508,-32.1991, 12.5731,  1.5627
 52.7387, 33.7820, 19.1697,2001-02-03 02:42:10, 22.1139,-79.6226, 19.1697,  3.1727
 52.8291, 33.9961, 21.2576,2001-02-03 02:43:20, 30.4045,-55.8501, 21.2576,  3.0734
 52.3851, 33.9212,  9.0821,2001-02-03 02:44:30,-10.6252,-64.1975,  9.0821,  2.3788
 52.5750, 33.9774, 14.7222,2001-02-03 02:45:40,  6.9326,-57.9636, 14.7222,  1.3355
 52.3644, 33.9548,  9.1613,2001-02-03 02:46:50,-12.5375,-60.4707,  9.1613,  2.5783
 52.5203, 33.7357, 13.3265,2001-02-03 02:48:00,  1.8830,-84.7823, 13.3265,  2.5822
 52.7356, 33.8014, 19.4390,2001-02-03 02:49:10, 21.8157,-77.4731, 19.4390,  0.6970
 52.2079, 33.8571,  4.0970,2001-02-03 02:50:20,-27.0294,-71.2722,  4.0970,  2.4820
 52.6893, 33.7681, 17.6422,2001-02-03 02:51:30, 17.5402,-81.1668, 17.6422,  1.3196
 52.4844, 34.0758, 12.2589,2001-02-03 02:52:40, -1.4412,-47.0558, 12.2589,  1.7835
 52.4249, 33.9308, 10.3228,2001-02-03 02:53:50, -6.9411,-63.1352, 10.3228,  0.5341
 52.5753, 33.9759, 14.7572,2001-02-03 02:55:00,  6.9568,-58.1389, 14.7572,  2.0201
 52.6542, 33.3137, 17.2079,2001-02-03 02:56:10, 14.3604,-131.5759, 17.2079,  1.5515
 52.8827, 33.8317, 23.6316,2001-02-03 02:57:20, 35.4246,-74.0607, 23.6316,  1.9282
 52.6013, 34.0985, 15.4049,2001-02-03 02:58:30,  9.3475,-44.5365, 15.4049,  4.4159
 52.7611, 33.8851, 20.0290,2001-02-03 02:59:40, 24.1519,-68.1797, 20.0290,  2.2328
 52.5319, 33.8120, 13.4058,2001-02-03 03:00:50,  2.9516,-76.3148, 13.4058,  2.3478
 52.4858, 33.5622, 12.0586,2001-02-03 03:02:00, -1.3200,-104.0295, 12.0586,  1.7244
 52.4391, 33.5264, 10.5682,2001-02-03 03:03:10, -5.6590,-107.9965, 10.5682,  0.4954
 52.8029, 33.8719, 21.3545,2001-02-03 03:04:20, 28.0298,-69.6263, 21.3545,  4.6054
 52.4290, 33.5276, 10.2630,2001-02-03 03:05:30, -6.5920,-107.8583, 10.2630,  1.2474
 52.4841, 33.7062, 12.5988,2001-02-03 03:06:40, -1.4733,-88.0492, 12.5988,  3.7328
 52.5496, 33.6637, 14.2557,2001-02-03 03:07:50,  4.5969,-92.7641, 14.2557,  1.0036
 52.7679, 34.0352, 19.9971,2001-02-03 03:09:00, 24.7358,-51.5218, 19.9971,  3.2546
 52.4890, 33.9490, 11.5977,2001-02-03 03:10:10, -1.0187,-61.1208, 11.5977,  1.2953
 52.7714, 33.7602, 20.3252,2001-02-03 03:11:20, 25.1426,-82.0299, 20.3252,  1.4103
 52.3979, 33.7959,  9.6810,2001-02-03 03:12:30, -9.4564,-78.1002,  9.6810,  5.0421
 52.2712, 33.6946,  6.1171,2001-02-03 03:13:40,-21.2126,-89.3190,  6.1171,  0.9942
 52.5763, 33.6227, 14.7601,2001-02-03 03:14:50,  7.0788,-97.3128, 14.7601,  1.9285
 53.0670, 33.7708, 29.0879,2001-02-03 03:16:00, 52.5260,-80.7400, 29.0879,  2.4500
 52.5360, 33.7145, 13.5804,2001-02-03 03:17:10,  3.3371,-87.1271, 13.5804,  1.4769
 52.9046, 33.9079, 24.2417,2001-02-03 03:18:20, 37.4222,-65.6103, 24.2417,  2.2109
 52.9031, 33.9577, 23.7920,2001-02-03 03:19:30, 37.2564,-60.0840, 23.7920,  1.7225
 52.8967, 33.8415, 23.9935,2001-02-03 03:20:40, 36.7187,-72.9753, 23.9935,  1.2562
 52.4401, 33.7589, 10.7607,2001-02-03 03:21:50, -5.5506,-82.2031, 10.7607,  0.8296
 52.6658, 33.9195, 17.1079,2001-02-03 03:23:00, 15.3347,-64.3779, 17.1079,  0.8226
 52.8645, 33.7575, 23.2002,2001-02-03 03:24:10, 33.7734,-82.3002, 23.2002,  2.5810
 52.7404, 33.9503, 19.3084,2001-02-03 03:25:20, 22.2268,-60.9490, 19.3084,  1.6848
 52.7940, 33.5622, 21.3476,2001-02-03 03:26:30, 27.3060,-103.9845, 21.3476,  1.7083
 52.3357, 33.8860,  7.6228,2001-02-03 03:27:40,-15.1992,-68.0942,  7.6228,  3.0709
 52.5697, 33.6593, 15.5029,2001-02-03 03:28:50,  6.4673,-93.2572, 15.5029,  1.4890
 52.6395, 33.7178, 16.1144,2001-02-03 03:30:00, 12.9351,-86.7529, 16.1144,  1.9252
 52.4330, 33.7162, 10.8127,2001-02-03 03:31:10, -6.2115,-86.9387, 10.8127,  1.7750
 52.7017, 33.8461, 18.1811,2001-02-03 03:32:20, 18.6721,-72.5175, 18.1811,  1.7325
 52.6498, 33.9563, 16.6487,2001-02-03 03:33:30, 13.8482,-60.3000, 16.6487,  2.1089
 52.5134, 33.5820, 12.3237,2001-02-03 03:34:40,  1.2439,-101.8322, 12.3237,  1.1058
 52.4287, 33.7696, 10.4614,2001-02-03 03:35:50, -6.6058,-81.0151, 10.4614,  0.9335
 52.1473, 33.8909,  2.8352,2001-02-03 03:37:00,-32.6274,-67.5048,  2.8352,  1.5503
 52.7087, 33.5011, 18.6974,2001-02-03 03:38:10, 19.3946,-110.7867, 18.6974,  1.2380
 52.3572, 33.6915,  8.4849,2001-02-03 03:39:20,-13.2413,-89.6733,  8.4849,  2.8928
 52.5391, 33.5546, 12.6595,2001-02-03 03:40:30,  3.6286,-104.8666, 12.6595,  2.6778
 52.3059, 34.1337,  6.8179,2001-02-03 03:41:40,-17.9080,-40.6207,  6.8179,  0.9174
 52.7354, 33.8958, 18.8667,2001-02-03 03:42:50, 21.7743,-67.0014, 18.8667,  0.6137
 52.4095, 33.7057,  9.8425,2001-02-03 03:44:00, -8.3941,-88.1104,  9.8425,  2.2998
 52.5102, 33.8533, 12.4751,2001-02-03 03:45:10,  0.9465,-71.7366, 12.4751,  3.0584
 52.4720, 34.0545, 12.1447,2001-02-03 03:46:20, -2.5874,-49.4153, 12.1447,  1.4326
 52.4869, 33.8178, 11.8843,2001-02-03 03:47:30, -1.2170,-75.6735, 11.8843,  1.2505
 52.7378, 33.5803, 19.1652,2001-02-03 03:48:40, 22.0758,-101.9922, 19.1652,  0.8993
 52.7494, 33.8313, 20.1759,2001-02-03 03:49:50, 23.0869,-74.1505, 20.1759,  1.4428
 52.4657, 33.8775, 11.6787,2001-02-03 03:51:00, -3.1737,-69.0480, 11.6787,  1.5778
 52.5474, 33.8096, 13.8336,2001-02-03 03:52:10,  4.3853,-76.5848, 13.8336,  1.5059
 52.9199, 33.6187, 25.1346,2001-02-03 03:53:20, 38.9707,-97.6817, 25.1346,  1.9875
 52.3904, 33.8346,  8.8400,2001-02-03 03:54:30,-10.1495,-73.8065,  8.8400,  1.1947
 52.3417, 33.8552,  7.4596,2001-02-03 03:55:40,-14.6530,-71.5131,  7.4596,  0.7725
 52.5037, 33.8588, 12.5150,2001-02-03 03:56:50,  0.3404,-71.1296, 12.5150,  1.2770
 52.7175, 34.0226, 19.0078,2001-02-03 03:58:00, 20.0898,-52.9338, 19.0078,  1.3782
 52.6643, 33.8886, 17.2995,2001-02-03 03:59:10, 15.2009,-67.8126, 17.2995,  1.4114
 52.6351, 33.8586, 16.2200,2001-02-03 04:00:20, 12.5037,-71.1387, 16.2200,  2.4937
 52.5179, 33.5779, 12.9631,2001-02-03 04:01:30,  1.6588,-102.2841, 12.9631,  2.8781
 52.5442, 33.5111, 13.6975,2001-02-03 04:02:40,  4.1043,-109.6931, 13.6975,  2.1785
 52.9889, 34.0132, 25.7157,2001-02-03 04:03:50, 45.1598,-53.8931, 25.7157,  1.8184
 52.2631, 33.6890,  5.6106,2001-02-03 04:05:00,-21.9688,-89.9358,  5.6106,  1.9918
 52.7431, 33.6442, 19.8370,2001-02-03 04:06:10, 22.5487,-94.9089, 19.8370,  1.5888
 52.4114, 33.9304,  9.5579,2001-02-03 04:07:20, -8.1876,-63.1783,  9.5579,  0.9515
 52.6074, 33.8178, 15.5709,2001-02-03 04:08:30,  9.9414,-75.6696, 15.5709,  2.7630
 52.5745, 33.8486, 14.6245,2001-02-03 04:09:40,  6.8996,-72.2604, 14.6245,  1.6047
 52.5996, 33.8597, 15.6423,2001-02-03 04:10:50,  9.2130,-71.0168, 15.6423,  2.5208
 52.3101, 33.5178,  7.4520,2001-02-03 04:12:00,-17.6430,-108.9337,  7.4520,  0.7032
 52.9979, 33.7795, 26.6059,2001-02-03 04:13:10, 46.1197,-79.8082, 26.6059,  0.6408
 52.3915, 34.0123,  9.5486,2001-02-03 04:14:20,-10.0263,-54.0996,  9.5486,  2.2297
 52.7810, 33.8415, 19.6233,2001-02-03 04:15:30, 26.0135,-73.0143, 19.6233,  1.8706
 52.6884, 33.7559, 18.1119,2001-02-03 04:16:40, 17.4569,-82.5270, 18.1119,  0.6606
 52.5592, 33.5972, 14.2714,2001-02-03 04:17:50,  5.4962,-100.1446, 14.2714,  3.9073
 52.6004, 33.8296, 15.3349,2001-02-03 04:19:00,  9.2921,-74.3654, 15.3349,  1.9951
 52.7248, 33.7845, 19.2875,2001-02-03 04:20:10, 20.8184,-79.3488, 19.2875,  1.5153
 52.6453, 34.0226, 16.5585,2001-02-03 04:21:20, 13.4234,-52.9477, 16.5585,  0.6803
 52.4455, 33.5235, 10.7759,2001-02-03 04:22:30, -5.0606,-108.3143, 10.7759,  2.7835
 52.7707, 33.8409, 20.1125,2001-02-03 04:23:40, 25.0559,-73.0752, 20.1125,  3.1572
 52.5016, 33.4012, 12.0005,2001-02-03 04:24:50,  0.1458,-121.8830, 12.0005,  1.3178
 52.7023, 33.7308, 18.5951,2001-02-03 04:26:00, 18.7494,-85.3010, 18.5951,  0.9590
 52.6245, 34.0524, 15.8381,2001-02-03 04:27:10, 11.4967,-49.6474, 15.8381,  0.6079
 52.7491, 33.7561, 20.0685,2001-02-03 04:28:20, 23.0796,-82.4908, 20.0685,  2.1952
 52.6788, 33.6125, 17.6714,2001-02-03 04:29:30, 16.5928,-98.4311, 17.6714,  2.7290
 52.5625, 33.5859, 14.1895,2001-02-03 04:30:40,  5.8057,-101.3908, 14.1895,  1.8903
 52.6829, 34.1337, 17.3619,2001-02-03 04:31:50, 16.8728,-40.6193, 17.3619,  0.7679
 52.5966, 33.6624, 14.5702,2001-02-03 04:33:00,  8.9587,-92.9061, 14.5702,  2.7113
 52.5211, 33.8951, 13.0357,2001-02-03 04:34:10,  1.9489,-67.1046, 13.0357,  4.0430
 52.6301, 33.4761, 16.2125,2001-02-03 04:35:20, 12.0914,-113.5716, 16.2125,  2.5699
 52.5776, 34.1749, 14.8623,2001-02-03 04:36:30,  7.1582,-36.0614, 14.8623,  3.7076
 52.4877, 33.7904, 11.6660,2001-02-03 04:37:40, -1.1362,-78.7140, 11.6660,  4.0217
 52.6469, 33.6389, 16.4754,2001-02-03 04:38:50, 13.6251,-95.5070, 16.4754,  2.8750
 52.5467, 33.7852, 13.5524,2001-02-03 04:40:00,  4.3231,-79.2903, 13.5524,  2.4492
 52.7846, 33.9060, 20.7936,2001-02-03 04:41:10, 26.3228,-65.8581, 20.7936,  1.7116
 52.5556, 33.7467, 14.1425,2001-02-03 04:42:20,  5.1478,-83.5642, 14.1425,  1.9248
 52.6293, 33.8385, 16.1185,2001-02-03 04:43:30, 11.9684,-73.3744, 16.1185,  1.3405
 52.4247, 33.7219, 10.4724,2001-02-03 04:44:40, -6.9838,-86.3145, 10.4724,  2.1041
 52.6158, 33.8403, 15.5670,2001-02-03 04:45:50, 10.7152,-73.1716, 15.5670,  2.7975
 52.6872, 33.6782, 17.9679,2001-02-03 04:47:00, 17.3621,-91.1409, 17.9679,  2.1114
 52.3852, 34.0658,  8.6816,2001-02-03 04:48:10,-10.5975,-48.1626,  8.6816,  2.7378
 52.6878, 33.8411, 17.8067,2001-02-03 04:49:20, 17.3865,-73.0761, 17.8067,  1.8384
 52.4790, 33.8162, 11.4887,2001-02-03 04:50:30, -1.9457,-75.8480, 11.4887,  1.4804
 52.7436, 33.7968, 19.1172,2001-02-03 04:51:40, 22.5590,-77.9714, 19.1172,  0.9322
 52.3556, 33.6614,  8.7438,2001-02-03 04:52:50,-13.3974,-93.0110,  8.7438,  2.8062
 52.2979, 33.8600,  6.2664,2001-02-03 04:54:00,-18.7010,-70.9797,  6.2664,  1.7253
