code,lat,lon,elv,x,y,z,r,S_P_Error,probabilityOfOccurrence,siteNoiseLevel,eid,Dist,Azim,TTP,TTS
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",7,  0.7576,167.3493, 14.2708,nan
GNI, 40.1500, 44.7410,  0.0020,-171.1920,212.7970,  0.0020,273.0690,1.0,1.0,"[0.0, 0.0]",7,  2.2766,319.2114, 39.5690,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",7,  1.0198, 68.5469, 19.4106,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",7,  0.3101,113.2350,  6.2534,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",7,  1.8071,300.9815, 32.9614,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",7,  0.8139,289.8135, 15.6040,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",7,  0.8495,259.6194, 16.1118,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",7,  0.9903,128.1232, 18.5887,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",7,  0.4651,243.8988,  9.0095,nan
ZNJK, 36.6700, 48.6850,  0.0020,173.0100,-173.5920,  0.0020,245.0550,1.0,1.0,"[0.0, 0.0]",7,  2.3820,137.3561, 40.8530,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",7,  0.7576,167.3493,nan, 24.9739
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",7,  0.3101,113.2350,nan, 10.9434
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",8,  0.7501,171.2334, 13.8925,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",8,  0.2649,118.0403,  5.1682,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",8,  0.8615,288.5761, 16.2481,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",8,  0.9002,260.1194, 16.8195,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",8,  0.9519,130.1574, 17.6507,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",8,  0.5123,246.2507,  9.6326,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",8,  0.7501,171.2334,nan, 24.3118
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",8,  0.2649,118.0403,nan,  9.0444
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",8,  0.5123,246.2507,nan, 16.8571
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",9,  1.5744, 84.6458, 28.8510,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",9,  1.8561,  9.1641, 32.8942,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",9,  2.2444,350.8038, 38.2487,nan
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",9,  1.4906, 56.5219, 27.3256,nan
GNI, 40.1500, 44.7410,  0.0020,-171.1920,212.7970,  0.0020,273.0690,1.0,1.0,"[0.0, 0.0]",9,  2.3437,317.8131, 39.5873,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",9,  0.9421, 66.0220, 18.0602,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",9,  0.2256,119.6652,  5.6166,nan
LKRN, 38.7100, 48.7790,  0.0000,176.4800, 53.0070,  0.0000,184.2560,1.0,1.0,"[0.0, 0.0]",9,  1.5829, 79.2009, 29.0310,nan
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",9,  1.2326, 79.5758, 23.0627,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",9,  1.8893,299.9499, 33.4180,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",9,  0.9013,288.6241, 16.9393,nan
ORD, 38.9280, 45.9940,  0.0010,-65.5580, 75.5340,  0.0010,100.0140,1.0,1.0,"[0.0, 0.0]",9,  0.7996,308.7386, 15.0915,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",9,  1.9114, 41.0603, 33.9354,nan
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",9,  1.3678,315.3355, 24.7838,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",9,  0.9353,261.3292, 17.5276,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",9,  0.9148,131.0897, 17.6477,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",9,  0.5423,249.1423, 10.6644,nan
VANB, 38.5950, 43.3890,  0.0010,-292.7930, 43.6350,  0.0010,295.9740,1.0,1.0,"[0.0, 0.0]",9,  2.6774,274.5892, 44.2229,nan
ZNJK, 36.6700, 48.6850,  0.0020,173.0100,-173.5920,  0.0020,245.0550,1.0,1.0,"[0.0, 0.0]",9,  2.3145,138.8597, 39.7758,nan
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",9,  1.9728, 20.2300, 34.5541,nan
ASTR, 38.5600, 48.7910,  0.0000,177.8930, 36.3800,  0.0000,181.5620,1.0,1.0,"[0.0, 0.0]",10,  1.5871, 84.0279, 28.6588,nan
BRDA, 40.2630, 47.1790,  0.0000, 36.5040,223.5930,  0.0000,226.5300,1.0,1.0,"[0.0, 0.0]",10,  1.8756,  9.3997, 33.4914,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",10,  0.7157,172.9917, 13.8118,nan
GANJ, 40.6460, 46.3220,  0.0010,-36.2180,266.1380,  0.0010,268.5520,1.0,1.0,"[0.0, 0.0]",10,  2.2604,351.1432, 38.8447,nan
GLBA, 39.2420, 48.3930,  0.0000,141.8500,111.3980,  0.0000,180.3520,1.0,1.0,"[0.0, 0.0]",10,  1.5098, 56.1744, 27.4286,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",10,  0.9596, 65.2992, 18.0614,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",10,  0.2272,114.3346,  5.0711,nan
LRK, 38.6430, 48.3400,  0.0020,138.4260, 44.8190,  0.0020,145.5010,1.0,1.0,"[0.0, 0.0]",10,  1.2468, 78.8459, 22.9127,nan
MAKU, 39.3550, 44.6830,  0.0020,-178.1460,124.6630,  0.0020,217.4120,1.0,1.0,"[0.0, 0.0]",10,  1.8888,300.5804, 34.0051,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",10,  0.8969,289.9287, 17.3956,nan
NAX, 39.1740, 45.4950,  0.0010,-108.4560,103.3180,  0.0010,149.7910,1.0,1.0,"[0.0, 0.0]",10,  1.2602,307.5743, 23.5573,nan
ORD, 38.9280, 45.9940,  0.0010,-65.5580, 75.5340,  0.0010,100.0140,1.0,1.0,"[0.0, 0.0]",10,  0.8025,310.2233, 15.6915,nan
SAAT, 39.8610, 48.4230,  0.0000,143.1790,180.1770,  0.0000,230.1140,1.0,1.0,"[0.0, 0.0]",10,  1.9322, 40.9475, 34.2986,nan
SBZ, 39.3970, 45.5530,  0.0010,-103.1190,128.0110,  0.0010,164.3790,1.0,1.0,"[0.0, 0.0]",10,  1.3730,316.1809, 25.4378,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",10,  0.9219,262.3224, 17.7452,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",10,  0.9116,129.7743, 17.2136,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",10,  0.5258,250.5381, 10.6558,nan
ZNJK, 36.6700, 48.6850,  0.0020,173.0100,-173.5920,  0.0020,245.0550,1.0,1.0,"[0.0, 0.0]",10,  2.3083,138.3518, 39.5008,nan
ZRD, 40.2790, 47.6840,  0.0000, 79.4570,225.6940,  0.0000,239.2440,1.0,1.0,"[0.0, 0.0]",10,  1.9935, 20.3393, 35.0861,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",10,  0.2272,114.3346,nan,  8.8744
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",11,  0.7398,166.7872, 14.4637,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",11,  0.3061,109.7327,  6.6911,nan
MRD, 38.7130, 45.7020,  0.0020,-91.1510, 51.9150,  0.0020,104.8980,1.0,1.0,"[0.0, 0.0]",11,  0.8176,291.1375, 15.6216,nan
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",11,  0.8432,260.8474, 16.1243,nan
SRB, 37.8250, 47.6630,  0.0020, 80.3820,-46.7790,  0.0020, 93.0030,1.0,1.0,"[0.0, 0.0]",11,  0.9812,127.1353, 18.7120,nan
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",11,  0.4542,245.8727,  9.2812,nan
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",11,  0.7398,166.7872,nan, 25.3115
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",11,  0.3061,109.7327,nan, 11.7094
SHB, 38.2830, 45.6190,  0.0020,-98.9550,  4.2680,  0.0020, 99.0470,1.0,1.0,"[0.0, 0.0]",11,  0.8432,260.8474,nan, 28.2176
TBZ, 38.2350, 46.1500,  0.0020,-52.5310, -1.4950,  0.0020, 52.5520,1.0,1.0,"[0.0, 0.0]",11,  0.4542,245.8727,nan, 16.2421
BST, 37.7010, 46.8890,  0.0020, 12.2580,-60.9280,  0.0020, 62.1490,1.0,1.0,"[0.0, 0.0]",12,  0.7329,165.7018, 14.1460,nan
GNI, 40.1500, 44.7410,  0.0020,-171.1920,212.7970,  0.0020,273.0690,1.0,1.0,"[0.0, 0.0]",12,  2.2890,319.9561, 38.6723,nan
GRMI, 38.8080, 47.8940,  0.0010, 99.3700, 62.5600,  0.0010,117.4230,1.0,1.0,"[0.0, 0.0]",12,  1.0446, 67.3556, 19.6386,nan
HRS, 38.3180, 47.0420,  0.0020, 25.5360,  7.5880,  0.0020, 26.6400,1.0,1.0,"[0.0, 0.0]",12,  0.3141,107.2809,  7.1110,nan
